arch,branch_key,n_seeds,option_type,r2_log_filtered_mean,r2_log_filtered_std,r2_log_full_mean,r2_log_full_std,r2_price_mean,r2_price_std,rmse_log_mean,rmse_log_std,seeds
A,branch_u,3,call,0.9909955128522142,7.262310760514898e-05,0.9909955128522142,7.262310760514898e-05,0.9999722514697812,4.865731475280004e-06,0.22249339812470628,0.0008962368479490222,"42,43,44"
B,branch_u,3,call,0.9910753688558561,0.0007163367621317302,0.9910753688558561,0.0007163367621317302,0.999864986757559,0.00013064999542028232,0.22138823166178187,0.008838153837592925,"42,43,44"
A,branch_u,3,put,0.9790985808506814,0.0014243187630926172,0.9790985808506814,0.0014243187630926172,0.9946600295644292,0.0018975994772201406,0.28592424160750046,0.00981280985551771,"42,43,44"
B,branch_u,3,put,0.9817375311197438,0.0006107558762047255,0.9817375311197438,0.0006107558762047255,0.9953916566409164,0.0014031303419600647,0.2673452242084065,0.004490981495692194,"42,43,44"
