Epoch	Train_MSE	Val_MSE	Val_RMSE
138	8.088e-06	9.219e-06	3.036e-03
139	7.959e-06	9.124e-06	3.021e-03
140	7.834e-06	8.591e-06	2.931e-03
141	7.658e-06	8.409e-06	2.900e-03
142	7.539e-06	8.175e-06	2.859e-03
143	7.392e-06	8.061e-06	2.839e-03
144	7.284e-06	7.909e-06	2.812e-03
145	7.114e-06	7.678e-06	2.771e-03
146	6.914e-06	7.422e-06	2.724e-03
147	6.754e-06	7.280e-06	2.698e-03
148	6.652e-06	7.229e-06	2.689e-03
149	6.536e-06	7.076e-06	2.660e-03
150	6.376e-06	6.882e-06	2.623e-03
151	6.266e-06	6.707e-06	2.590e-03
152	6.118e-06	6.590e-06	2.567e-03
153	5.992e-06	6.462e-06	2.542e-03
154	5.868e-06	6.295e-06	2.509e-03
155	5.769e-06	6.189e-06	2.488e-03
156	5.692e-06	6.137e-06	2.477e-03
157	5.579e-06	6.020e-06	2.454e-03
158	5.485e-06	5.756e-06	2.399e-03
159	5.389e-06	5.587e-06	2.364e-03
160	5.279e-06	5.541e-06	2.354e-03
161	5.197e-06	5.427e-06	2.330e-03
162	5.125e-06	5.311e-06	2.305e-03
163	5.019e-06	5.266e-06	2.295e-03
164	4.945e-06	5.191e-06	2.278e-03
165	4.856e-06	5.076e-06	2.253e-03
166	4.792e-06	5.049e-06	2.247e-03
167	4.745e-06	4.942e-06	2.223e-03
168	4.689e-06	4.854e-06	2.203e-03
169	4.623e-06	4.869e-06	2.207e-03
170	4.556e-06	4.818e-06	2.195e-03
171	4.479e-06	4.749e-06	2.179e-03
172	4.412e-06	4.676e-06	2.162e-03
173	4.340e-06	4.505e-06	2.123e-03
174	4.253e-06	4.396e-06	2.097e-03
175	4.187e-06	4.354e-06	2.087e-03
176	4.119e-06	4.275e-06	2.068e-03
177	4.055e-06	4.206e-06	2.051e-03
178	4.002e-06	4.188e-06	2.047e-03
179	3.959e-06	4.165e-06	2.041e-03
180	3.900e-06	4.105e-06	2.026e-03
181	3.841e-06	4.057e-06	2.014e-03

--- Final Validation Metrics ---
MSE:  4.057e-06
RMSE: 2.014e-03
