Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 2503, Val batches: 157
FNO-DeepONet Model initialized with hidden_dim=64, num_layers=4, p_dim=64

============================================================
PHASE 1: Adam Optimizer (FNO Parameter Groups)
============================================================
  Epoch 4 | Batch 700/2503 | Batch Loss: 0.000752
  Epoch 4 | Batch 800/2503 | Batch Loss: 0.000691
  Epoch 4 | Batch 900/2503 | Batch Loss: 0.000602
  Epoch 4 | Batch 1000/2503 | Batch Loss: 0.000905
  Epoch 4 | Batch 1100/2503 | Batch Loss: 0.002205
  Epoch 4 | Batch 1200/2503 | Batch Loss: 0.001745
  Epoch 4 | Batch 1300/2503 | Batch Loss: 0.028887
  Epoch 4 | Batch 1400/2503 | Batch Loss: 0.000817
  Epoch 4 | Batch 1500/2503 | Batch Loss: 0.001067
  Epoch 4 | Batch 1600/2503 | Batch Loss: 0.000575
  Epoch 4 | Batch 1700/2503 | Batch Loss: 0.001693
  Epoch 4 | Batch 1800/2503 | Batch Loss: 0.003572
  Epoch 4 | Batch 1900/2503 | Batch Loss: 0.055612
  Epoch 4 | Batch 2000/2503 | Batch Loss: 0.006816
  Epoch 4 | Batch 2100/2503 | Batch Loss: 0.025236
  Epoch 4 | Batch 2200/2503 | Batch Loss: 0.001916
  Epoch 4 | Batch 2300/2503 | Batch Loss: 0.001036
  Epoch 4 | Batch 2400/2503 | Batch Loss: 0.000718
  Epoch 4 | Batch 2500/2503 | Batch Loss: 0.000514

Adam Epoch 4/100 | Time: 343.8s | Base LR: 1.00e-03
  Train Loss: 0.006306 | Val MSE: 0.002091 *** New Best ***
  Components - Data: 0.0046 | PDE: 0.0009 | Arb: 0.0002
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 5 | Batch 100/2503 | Batch Loss: 0.000395
  Epoch 5 | Batch 200/2503 | Batch Loss: 0.000409
