Epoch	Train_Loss	Val_Loss
1	0.108191	0.006364
2	0.013206	0.004230
3	0.010756	0.006987
4	0.006644	0.002510
5	0.004889	0.001918
6	0.003263	0.001903
7	0.003221	0.002724
8	0.002498	0.002531
9	0.002510	0.001014
10	0.002123	0.001672
11	0.002315	0.001770
12	0.002289	0.001146
13	0.000780	0.001653
14	0.000672	0.001547
15	0.000632	0.001251
16	0.000599	0.001331
17	0.000576	0.001389
18	0.000549	0.001218
19	0.000526	0.001278
20	0.000497	0.001022
21	0.000479	0.001228
22	0.000456	0.000976
23	0.000442	0.001015
24	0.000422	0.000995
25	0.000407	0.000755
26	0.000395	0.000764
27	0.000380	0.000811
28	0.000370	0.000633
29	0.000356	0.000889
30	0.000345	0.000568
31	0.000330	0.000715
32	0.000320	0.000413
33	0.000306	0.000591
34	0.000301	0.000634
35	0.000292	0.000537

Final Test Loss: 0.001188
